"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","7.15"
"2024-05-01","5.47"
"2024-06-01","7.15"
"2024-07-01","7.07"
"2024-08-01","6.22"
"2024-09-01","5.55"
"2024-10-01","5.67"
"2024-11-01","5.1"
"2024-12-01","5.38"
"2025-01-01","6.24"
"2025-02-01","5.65"
"2025-03-01","6.11"
"2025-04-01","5.15"
"2025-05-01","5.5"
"2025-06-01","5.74"
"2025-07-01","6.39"
"2025-08-01","5.79"
"2025-09-01","5.53"
"2025-10-01","5.44"
"2025-11-01","5.25"
"2025-12-01","5.24"
"2026-01-01","6.07"
"2026-02-01","5.59"
"2026-03-01","6.14"
"2026-04-01","5.23"