"Date","Listing Days Booked","Booked Listings"
"2023-05-01","6724","395"
"2023-06-01","6741","437"
"2023-07-01","7571","412"
"2023-08-01","7964","430"
"2023-09-01","8059","489"
"2023-10-01","9388","511"
"2023-11-01","11721","672"
"2023-12-01","11105","852"
"2024-01-01","10834","807"
"2024-02-01","13407","1006"
"2024-03-01","9152","576"
"2024-04-01","8518","547"
"2024-05-01","9066","613"
"2024-06-01","7493","545"
"2024-07-01","8760","527"
"2024-08-01","9103","528"
"2024-09-01","12337","792"
"2024-10-01","9649","569"
"2024-11-01","11849","739"
"2024-12-01","13208","1046"
"2025-01-01","15073","1024"
"2025-02-01","15045","1158"
"2025-03-01","19084","1364"
"2025-04-01","14505","1017"
"2025-05-01","13469","1172"
"2025-06-01","11253","792"
"2025-07-01","11570","704"
"2025-08-01","11793","708"
"2025-09-01","12339","706"
"2025-10-01","12356","741"
"2025-11-01","14304","885"
"2025-12-01","17174","1422"
"2026-01-01","21243","1478"
"2026-02-01","24760","1756"
"2026-03-01","17504","994"
"2026-04-01","15370","988"