"Date","Average RevPAR"
"2023-05-01","180.11"
"2023-06-01","186.74"
"2023-07-01","226.49"
"2023-08-01","211.61"
"2023-09-01","226.84"
"2023-10-01","232.48"
"2023-11-01","254.9"
"2023-12-01","247.66"
"2024-01-01","260.31"
"2024-02-01","301.03"
"2024-03-01","207.66"
"2024-04-01","233.18"
"2024-05-01","194.77"
"2024-06-01","190.07"
"2024-07-01","248.45"
"2024-08-01","231.56"
"2024-09-01","297.75"
"2024-10-01","202.72"
"2024-11-01","274.09"
"2024-12-01","299.59"
"2025-01-01","310.96"
"2025-02-01","362.74"
"2025-03-01","294.94"
"2025-04-01","281.84"
"2025-05-01","191.6"
"2025-06-01","224.34"
"2025-07-01","222.94"
"2025-08-01","226.44"
"2025-09-01","233.09"
"2025-10-01","247.89"
"2025-11-01","274.43"
"2025-12-01","299.29"
"2026-01-01","330.6"
"2026-02-01","416.64"
"2026-03-01","252.94"
"2026-04-01","267.97"