"Date","Revenue"
"2023-05-01","18238.33"
"2023-06-01","10386.14"
"2023-07-01","10296.89"
"2023-08-01","13791.64"
"2023-09-01","25514.58"
"2023-10-01","19851.16"
"2023-11-01","27502.46"
"2023-12-01","27755.14"
"2024-01-01","28327.38"
"2024-02-01","47191.14"
"2024-03-01","17159.65"
"2024-04-01","13457.02"
"2024-05-01","8189.71"
"2024-06-01","10100.81"
"2024-07-01","15627.35"
"2024-08-01","18838.5"
"2024-09-01","37026.77"
"2024-10-01","21692.74"
"2024-11-01","28549.88"
"2024-12-01","29808.51"
"2025-01-01","28289.22"
"2025-02-01","19276.13"
"2025-03-01","48198.34"
"2025-04-01","27413.13"
"2025-05-01","14418.09"
"2025-06-01","16692.16"
"2025-07-01","21964.62"
"2025-08-01","17580.27"
"2025-09-01","19078.22"
"2025-10-01","16682.16"
"2025-11-01","26271.04"
"2025-12-01","24090.67"
"2026-01-01","35176.25"
"2026-02-01","49975.49"
"2026-03-01","29627.04"
"2026-04-01","31228.91"