"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","247","303","401","482","624"
"2023-06-01","253","309","406","463","661"
"2023-07-01","238","349","455","480","544"
"2023-08-01","213","315","440","481","570"
"2023-09-01","230","349","478","490","603"
"2023-10-01","226","350","468","470","582"
"2023-11-01","224","328","472","468","566"
"2023-12-01","264","406","523","563","729"
"2024-01-01","260","416","519","606","750"
"2024-02-01","250","417","522","569","711"
"2024-03-01","236","368","520","519","621"
"2024-04-01","243","402","472","585","690"
"2024-05-01","233","364","442","494","546"
"2024-06-01","236","381","549","518","605"
"2024-07-01","238","374","506","513","582"
"2024-08-01","234","340","479","479","590"
"2024-09-01","319","452","563","616","726"
"2024-10-01","239","372","467","524","527"
"2024-11-01","246","375","516","523","581"
"2024-12-01","288","429","571","592","787"
"2025-01-01","267","423","582","599","777"
"2025-02-01","245","368","559","559","777"
"2025-03-01","244","384","539","544","723"
"2025-04-01","242","380","531","544","683"
"2025-05-01","216","359","474","470","627"
"2025-06-01","210","357","474","493","640"
"2025-07-01","213","356","465","513","602"
"2025-08-01","194","331","423","484","578"
"2025-09-01","199","348","437","485","557"
"2025-10-01","218","358","442","509","553"
"2025-11-01","221","359","479","540","594"
"2025-12-01","257","408","533","600","765"
"2026-01-01","279","423","573","631","748"
"2026-02-01","285","441","598","686","779"
"2026-03-01","227","333","476","547","603"
"2026-04-01","220","336","480","522","564"