"Date","Unique","B&B","Apartment","House"
"2023-05-01","1031.66","","165222.57","85251.56"
"2023-06-01","2823.88","","122446.8","151007.94"
"2023-07-01","1993.14","","203395.83","197104.24"
"2023-08-01","5149.2","1924.1","125843.84","73025.91"
"2023-09-01","4924.9","","319554.12","471106.79"
"2023-10-01","2812.68","1641.15","154758.13","116597.55"
"2023-11-01","5781.39","452.2","330788.94","411076.85"
"2023-12-01","8098.49","533.32","778788.38","938392.84"
"2024-01-01","10787.46","1731.44","375168.15","641104.77"
"2024-02-01","11484.72","1188.76","534564.39","1230675.92"
"2024-03-01","8468.9","","353680.45","295697.18"
"2024-04-01","2182.97","","254489.76","671483.79"
"2024-05-01","1838.37","","208921.67","355508.32"
"2024-06-01","1899.42","","190108.33","107887.32"
"2024-07-01","","","314078.27","433641.25"
"2024-08-01","3280.87","","806653.98","448364.82"
"2024-09-01","2744.22","","369364.94","580652.8"
"2024-10-01","2306.63","","212741.17","142332.49"
"2024-11-01","1826.04","","379752.4","493384.21"
"2024-12-01","3395.83","296.08","464086.69","855688.72"
"2025-01-01","3085.03","589.34","593593.99","1665258.85"
"2025-02-01","3126.18","","681033.27","1996617.88"
"2025-03-01","4360.91","","868155.02","4580045.03"
"2025-04-01","2260.26","2272.04","701388.03","1204137.75"
"2025-05-01","1210.44","7808.17","347372.45","243394.28"
"2025-06-01","1308.36","15312.26","259676.42","559729.08"
"2025-07-01","2578.99","2945.83","253986.36","578795"
"2025-08-01","3299.95","","328563.99","556811.6"
"2025-09-01","1440.83","962.32","206160.32","330071.31"
"2025-10-01","997.5","","202954.98","485442.53"
"2025-11-01","3596.73","6700.84","293247.68","1056766.95"
"2025-12-01","2951.12","14652.73","386542.85","1046776.56"
"2026-01-01","7082.24","12650.31","491117.63","1215278.01"
"2026-02-01","7317.59","11863.69","707160.31","2746315.69"
"2026-03-01","5623.78","12143.1","455094.39","1738734.13"
"2026-04-01","2581.85","14282.55","326491.19","1890630.61"